Citation,,,Sample,,,Flow,,,,,,,Experimental Set up,,,,Outputs,,,,,Info
Article (MLA),Authors,DOI,"Geometry of Sample (flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, cylinder is in radius x length, rectangle is in L x W x H)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Ignition method (Wire, open flame, or Radiative Heater","Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; EG10%,21.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; EG10%,18.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; EG10%,19.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; EG10%,20.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; EG10%,21.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,18.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,No,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,19.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,20.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,21.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,18.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,19.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,20.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP5%,21.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,18.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,No,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,19.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,No,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,20.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,No,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,21.0%,101.3 kPa,-150,,,190 mm,1,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,21.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,19.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Li, Y., et al. ""Effects of flame retardants on extinction limits, spread rate, and smoke release in opposed-flow flame spread over thin Cylindrical polyethylene samples in microgravity."" Proceedings of the Combustion Institute 39.3 (2023): 3919-3928.","Y. Li, A. Guibaud, J.-M. Citerne, J.-L. Consalvi, A. Coimbra, J. Sarazin, S. Bourbigot, J.L. Torero, G. Legros",https://doi.org/10.1016/j.proci.2022.08.030,Cylinder,1mm x 100mm,LDPE; AP10%,18.0%,101.3 kPa,-150,,,190 mm,0,Wire,Parabolic Flight,,8s,Yes,,,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,25 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,10,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,11.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,12,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,12,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,20 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,5.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,6,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,6.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,6.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,Cu core; LDPE outer,21.0%,20 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,Cu core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,Cu core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,7.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,Cu core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,8,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,9,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,35 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.6,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.9,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.15mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.6,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,35 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.8,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.9,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.15 mm outer,NiCr core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.8,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,NiCr core; LDPE outer,21.0%,30 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.5,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,NiCr core; LDPE outer,21.0%,40 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,1.6,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,NiCr core; LDPE outer,21.0%,60 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,NiCr core; LDPE outer,21.0%,80 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.7,,,
"Ma, Yuxuan, et al. ""Downward flame spread over electrical wires in quiescent low pressures: Similarity analysis and comparison with partial-gravity experiments."" Proceedings of the Combustion Institute 40.1-4 (2024): 105766.","Yuxuan Ma, Zhengda Guo, Yan Gu, Longhua Hu",https://doi.org/10.1016/j.proci.2024.105766,Wire,0.25mm core; 0.3 mm outer,NiCr core; LDPE outer,21.0%,101.3 kPa,,,,,,NiCr Igniter,,235.2 W,15 s,Yes,,2.5,,,
"Konno, Yusuke, et al. ""Downward flame spread and extinction over electric wires placed in a ground-based centrifuge."" Proceedings of the Combustion Institute 40.1-4 (2024): 105199.","Yusuke Konno, Shoryu Ishikawa, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2024.105199,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,17.0%,100 kPa,0,,,390 mm,0,Wire,Centrifuge,90 W,10 s,Yes,,4.1,,,
"Konno, Yusuke, et al. ""Downward flame spread and extinction over electric wires placed in a ground-based centrifuge."" Proceedings of the Combustion Institute 40.1-4 (2024): 105199.","Yusuke Konno, Shoryu Ishikawa, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2024.105199,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,17.0%,100 kPa,0,,,390 mm,0,Wire,Centrifuge,90 W,10 s,Yes,,4,,,
"Konno, Yusuke, et al. ""Downward flame spread and extinction over electric wires placed in a ground-based centrifuge."" Proceedings of the Combustion Institute 40.1-4 (2024): 105199.","Yusuke Konno, Shoryu Ishikawa, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2024.105199,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,17.0%,100 kPa,0,,,390 mm,0,Wire,Centrifuge,90 W,10 s,Yes,,3.6,,,
"Konno, Yusuke, et al. ""Downward flame spread and extinction over electric wires placed in a ground-based centrifuge."" Proceedings of the Combustion Institute 40.1-4 (2024): 105199.","Yusuke Konno, Shoryu Ishikawa, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2024.105199,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,19.0%,100 kPa,0,,,390 mm,0,Wire,Centrifuge,90 W,10 s,Yes,,5.8,,,
"Konno, Yusuke, et al. ""Downward flame spread and extinction over electric wires placed in a ground-based centrifuge."" Proceedings of the Combustion Institute 40.1-4 (2024): 105199.","Yusuke Konno, Shoryu Ishikawa, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2024.105199,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,19.0%,100 kPa,0,,,390 mm,0,Wire,Centrifuge,90 W,10 s,Yes,,6,,,
